,iql_2p_801,iql_2p_5,iql_2p_800,iql_2p_802,iql_2p_803,iql_2p_804,iql_2p_210,iql_2p_11,iql_2p_6,iql_2p_113,iql_2p_805
iql_2p_801,24.007,14.4726,21.9232,23.2446,22.2682,19.0954,11.0646,10.5568,16.0996,13.5682,21.3328
iql_2p_5,13.9502,23.7976,14.6878,13.4354,14.8226,12.7654,8.5812,5.8684,9.0216,8.486,14.727
iql_2p_800,22.0862,14.3618,24.0232,22.1128,22.8722,18.791,13.7468,12.6046,15.1984,14.9802,23.3834
iql_2p_802,23.2644,13.7144,22.1326,24.0186,22.3768,19.0266,13.216,11.6946,16.6032,16.2858,21.8738
iql_2p_803,22.3782,14.9804,22.6868,22.2086,23.984,20.0402,11.56,11.2024,16.4542,14.1996,23.1798
iql_2p_804,18.8416,13.2132,18.8112,19.122,20.0256,23.9528,10.352,11.1816,16.2012,13.8396,19.0116
iql_2p_210,10.9946,8.7702,13.5892,12.6462,11.5706,10.391,23.8912,6.523,6.4594,5.5086,11.5458
iql_2p_11,11.6908,6.4672,13.664,12.7414,12.2656,11.833,7.1394,23.9404,7.6746,7.289,13.0264
iql_2p_6,16.3358,8.791,15.5842,16.8018,16.4634,16.4082,6.156,7.0722,23.3894,7.9024,15.7518
iql_2p_113,13.995,8.7096,15.1198,16.5718,14.2512,13.7674,5.9836,7.061,7.9176,23.9586,15.2226
iql_2p_805,21.4176,14.5868,23.3216,21.8738,23.2702,19.165,11.9824,12.2348,15.6206,15.1986,24.0264
